id,X_cor,Y_cor,Elevation,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013
132,1252002.784,801609.7279,760.0, , ,1, ,1,1,1,1, ,1,1,1,1, 
133,1263399.617,801675.8475,791.0, , ,1,1,1,1,1,1,1,1,1,1,1, 
134,1265176.279,800083.6422,948.0, , ,1, ,1,1,1, , ,1,1,1,1, 
135,1271828.004,795600.1437,629.0, , , ,1, ,1,1,1,1,1,1,1,1, 
136,1190905.578,786306.2151,862.0, , , , ,1,1,1,1,1,1,1,1,1, 
137,1253908.689,786754.4054,788.0, , ,1,1, , ,1,1, ,1,1,1,1, 
138,1255213.095,785484.9911,671.0, , ,1,1, , ,1,1, ,1,1,1,1, 
139,1268164.864,772815.1492,1012.0, , ,1,1, ,1,1,1, ,1,1,1,1, 
140,1226037.382,765645.3617,918.0, , , ,1,1,1,1,1,1,1,1, ,1, 
141,1266462.295,749115.827,1293.0, ,1,1,1, ,1,1, , ,1, ,1,1, 
142,1262509.323,759442.3536,878.0, ,1,1,1, ,1,1,1,1,1, ,1,1, 
143,1261946.719,749170.3243,1106.0, ,1, ,1, ,1,1,1,1,1, ,1,1, 
144,1262763.762,748647.5075,1150.0, ,1, ,1, ,1,1,1,1,1, ,1,1, 
145,1264704.768,754320.8254,1146.0, ,1,1,1, ,1,1,1,1,1, ,1,1, 
146,1294955.67,747702.3226,1055.0, , , , , , , , , , , , ,1, 
147,1246620.83,746260.8995,1136.0, , ,1,1,1,1, , , ,1,1,1,1, 
148,1267658.184,745830.181,1227.0, ,1,1,1, ,1,1,1,1, , ,1,1, 
149,1234811.026,735280.1404,1218.0, , , , , , ,1, , , , , ,1, 
150,1245368.609,732627.6354,949.0, , ,1, ,1, , ,1,1,1, ,1,1, 
151,1246762.195,733585.2497,841.0, , ,1,1,1, ,1,1,1,1, ,1,1, 
152,1277748.361,740881.8463,985.0, ,1,1,1, , , , , ,1, , ,1, 
153,1275620.968,740181.8125,1226.0, ,1,1,1, ,1,1,1,1,1, , ,1, 
154,1258476.123,735746.5909,797.0, , ,1,1, , , , ,1, , ,1,1, 
155,1271192.563,736063.6953,1239.0, ,1, ,1,1, ,1, , ,1, ,1,1, 
156,1260481.458,731973.9476,993.0, , , ,1,1, ,1, , , , ,1,1, 
